Laps done: 11

Power data:

64.25, 7.96, 622.10, 4952.00, 8.02
70.70, 7.94, 656.10, 5214.00, 8.01
68.00, 7.95, 668.20, 5316.00, 8.02
69.12, 7.95, 659.10, 5298.00, 8.02
68.39, 7.95, 661.20, 5260.00, 8.02
68.53, 7.95, 663.20, 5462.00, 8.02
62.72, 7.96, 632.40, 5144.00, 8.02
58.86, 7.96, 653.60, 5148.00, 8.02
60.10, 7.96, 621.40, 4918.00, 8.02
61.87, 7.96, 650.30, 4860.00, 8.02
65.87, 7.96, 656.00, 5162.00, 8.02
70.04, 7.94, 697.10, 5538.00, 8.01
66.20, 7.95, 597.70, 4752.00, 8.02
65.06, 7.95, 632.50, 5034.00, 8.02
64.43, 7.96, 644.40, 5126.00, 8.02
63.82, 7.96, 606.00, 4820.00, 8.02
73.52, 7.94, 677.40, 5384.00, 8.01
65.44, 7.95, 626.30, 4980.00, 8.02
128.56, 7.85, 1274.90, 9932.00, 7.98
61.28, 7.95, 631.90, 5030.00, 8.01
70.77, 7.94, 706.10, 5614.00, 8.01
86.31, 7.92, 806.90, 6390.00, 8.01
62.99, 7.96, 629.80, 5008.00, 8.02
74.25, 7.94, 744.90, 5918.00, 8.01
63.04, 7.96, 671.90, 5344.00, 8.02
62.69, 7.96, 626.60, 5338.00, 8.02
65.72, 7.95, 650.20, 5512.00, 8.02
64.52, 7.95, 768.40, 8562.00, 8.01
74.61, 7.94, 664.20, 5282.00, 8.01
65.64, 7.95, 677.70, 5388.00, 8.01
64.05, 7.95, 663.90, 5276.00, 8.01
65.18, 7.95, 637.70, 5076.00, 8.02
64.59, 7.96, 594.60, 5008.00, 8.02
66.49, 7.95, 649.40, 5266.00, 8.01
67.75, 7.95, 659.90, 5250.00, 8.02
73.17, 7.94, 770.40, 6108.00, 8.01
62.43, 7.95, 656.40, 5216.00, 8.01
64.09, 7.95, 646.20, 5138.00, 8.02
63.89, 7.94, 628.00, 4994.00, 8.01
61.64, 7.95, 620.40, 5010.00, 8.01
87.68, 7.91, 735.30, 5832.00, 8.00
68.72, 7.94, 663.00, 5266.00, 8.01
63.39, 7.95, 579.80, 4610.00, 8.01
64.31, 7.95, 645.50, 5132.00, 8.01
64.54, 7.95, 628.50, 4994.00, 8.02
63.48, 7.96, 670.70, 5324.00, 8.02
60.62, 7.96, 644.80, 5128.00, 8.02
64.03, 7.95, 658.30, 5236.00, 8.01
58.82, 7.95, 646.70, 5142.00, 8.01
64.45, 7.95, 651.20, 5178.00, 8.01
101.30, 7.88, 1002.90, 7904.00, 7.98
64.83, 7.95, 630.70, 5126.00, 8.01
63.66, 7.95, 652.10, 5178.00, 8.02
66.31, 7.94, 666.60, 5296.00, 8.01
65.25, 7.95, 649.60, 5162.00, 8.01
60.70, 7.95, 642.40, 5092.00, 8.01
59.52, 7.95, 623.40, 4954.00, 8.01
62.17, 7.95, 598.60, 4762.00, 8.01
111.27, 7.87, 1111.60, 8756.00, 7.98
65.64, 7.95, 647.70, 5144.00, 8.01
64.73, 7.95, 657.30, 5226.00, 8.01
64.77, 7.94, 641.60, 5098.00, 8.01
70.25, 7.94, 696.90, 5538.00, 8.01
66.93, 7.94, 671.80, 5338.00, 8.01
