Time (s),shunt V (mV),bus V ,current mA,power mW,load V 
80.0,90.72,9.36,906.90,8568.00,9.45,
80.5,88.77,9.36,896.50,8388.00,9.44,
81.0,89.17,9.50,888.50,8346.00,9.59,
81.5,69.44,9.58,660.50,6704.00,9.65,
82.0,72.89,9.46,723.70,6846.00,9.54,
82.5,74.88,9.60,767.20,7372.00,9.67,
83.0,77.73,9.82,766.00,7580.00,9.90,
83.5,79.47,9.86,782.60,7716.00,9.94,
84.0,138.19,9.49,1334.10,12674.00,9.63,
84.5,75.43,9.67,765.20,7170.00,9.75,
85.0,73.99,9.56,768.60,7308.00,9.64,
85.5,74.69,9.62,752.80,6764.00,9.70,
86.0,78.70,9.88,817.30,8090.00,9.96,
86.5,75.90,9.92,759.50,7524.00,10.00,
87.0,73.79,9.93,767.90,7674.00,10.00,
87.5,78.24,9.90,767.60,7616.00,9.98,
88.0,74.18,9.91,772.50,7654.00,9.98,
88.5,75.68,9.89,753.90,7544.00,9.96,
89.0,75.67,9.76,759.00,7454.00,9.84,
89.5,124.18,9.74,1127.40,10954.00,9.86,
90.0,74.05,9.88,760.80,7344.00,9.95,
90.5,80.56,9.88,805.10,7956.00,9.96,
91.0,94.39,9.86,906.60,9486.00,9.96,
91.5,91.08,9.86,927.10,9162.00,9.96,
92.0,89.44,9.88,865.00,8560.00,9.97,
92.5,71.01,9.95,713.40,6828.00,10.02,
93.0,73.96,9.92,740.10,7328.00,9.99,
93.5,76.18,9.90,765.00,7576.00,9.98,
94.0,74.69,9.93,755.10,7370.00,10.00,
94.5,77.97,9.91,825.70,8254.00,9.99,
95.0,75.22,9.69,1442.30,15728.00,9.76,
95.5,73.32,9.90,763.60,7534.00,9.97,
96.0,88.31,9.90,842.00,8336.00,9.98,
96.5,99.78,9.89,882.50,8696.00,9.99,
97.0,81.08,9.88,820.90,8114.00,9.96,
97.5,82.30,9.83,836.40,8536.00,9.91,
98.0,73.56,9.66,748.60,7078.00,9.73,
98.5,77.88,9.91,778.10,7724.00,9.99,
99.0,75.91,9.90,765.50,7566.00,9.98,
99.5,76.58,9.88,742.70,7364.00,9.96,
100.0,77.76,9.89,775.60,7638.00,9.97,
100.5,81.84,9.88,809.20,7842.00,9.96,
101.0,143.55,9.69,1381.90,13390.00,9.84,
101.5,95.77,9.44,961.30,8958.00,9.53,
102.0,91.84,9.47,867.60,8198.00,9.56,
102.5,90.32,9.71,926.50,9038.00,9.80,
103.0,134.04,9.26,1270.60,11974.00,9.39,
103.5,69.08,9.76,704.50,6866.00,9.83,
104.0,75.18,9.73,757.10,7344.00,9.80,
104.5,73.52,9.75,729.80,6938.00,9.83,
105.0,72.98,9.74,730.40,7104.00,9.82,
105.5,72.11,9.75,746.50,7254.00,9.82,
106.0,71.57,9.74,734.80,7140.00,9.81,
106.5,72.37,9.72,725.20,7084.00,9.79,
107.0,82.80,9.82,825.10,8062.00,9.91,
107.5,89.26,9.92,1014.40,9890.00,10.01,
108.0,117.28,9.77,1213.70,11894.00,9.89,
108.5,74.30,9.75,731.20,7144.00,9.82,
109.0,77.90,9.86,774.90,7622.00,9.93,
109.5,127.66,9.59,1273.20,12222.00,9.72,
110.0,71.15,9.83,719.20,7088.00,9.90,
110.5,73.95,9.86,727.10,7372.00,9.93,
111.0,74.38,9.76,738.80,7236.00,9.83,
111.5,78.98,9.86,794.60,7828.00,9.93,
112.0,76.39,9.67,742.90,7236.00,9.75,
112.5,97.20,9.57,1058.00,10302.00,9.67,
113.0,93.49,9.90,930.80,9140.00,9.99,
113.5,85.34,9.90,890.70,8818.00,9.99,
114.0,86.91,9.89,857.20,8484.00,9.98,
114.5,

 ,Average, Max 
shunt V (mV),=AVERAGE(B2:B239),=MAX(B2:B239) 
current mA ,=AVERAGE(D2:D239),=MAX(D2:D239) 
power mW ,=AVERAGE(E2:E239),=MAX(E2:E239), ,Joules,=SUM(E2:E239)/(2*1000)
